schemaVersion,recordType,content.company,content.title,content.date,content.is_remote,content.role_family,content.source_url,content.location,content.description_snippet,collectedAt
1.0,JOB,Himalayas Startup,Mechanical CAD Expert,2026-09-12T10:53:52+00:00,True,Operations & Strategy,https://himalayas.app/companies/micro1/jobs/mechanical-cad-expert,Remote,Role Title: Mechanical CAD ExpertRole Type: ContractorLocation: Remotemicro1 is engaging Mechanical CAD Experts to contribute to a customer project focused on advanced engineering assemblies.,2026-09-12T12:45:55.067338+00:00
1.0,JOB,Himalayas Startup,Product Manager/Product Owner,2026-09-12T09:50:58+00:00,True,Product Management,https://himalayas.app/companies/micro1/jobs/product-manager-product-owner,Remote,Role Title: Product Manager / Product Owner Role Type: ContractorLocation: Remotemicro1 is engaging Product Managers and Product Owners as expert contributors to an advanced customer project focused on AI system development.,2026-09-12T12:45:55.068366+00:00
1.0,JOB,Himalayas Startup,Technical Writer,2026-09-12T07:43:50+00:00,True,Operations & Strategy,https://himalayas.app/companies/micro1/jobs/technical-writer-8891880471,Remote,"Role Title: Technical WriterRole Type: ContractorLocation: United States, Canada, United Kingdom micro1 is engaging Technical Writers to contribute expertise on a customer project focused on advanced AI system development.",2026-09-12T12:45:55.068366+00:00
1.0,JOB,Himalayas Startup,Senior Data Engineer – Healthcare Technology,2026-09-12T07:07:41+00:00,True,Data Engineering,https://himalayas.app/companies/elevated-hires/jobs/senior-data-engineer-healthcare-technology,Remote,"Senior Data Engineer – Healthcare Technology Elevated Hires is recruiting a Senior Data Engineer to build and scale a modern healthcare data platform supporting analytics, care coordination, and value-based care.",2026-09-12T12:45:55.068366+00:00
1.0,JOB,Himalayas Startup,Marketing Growth Business Partner,2026-09-12T07:07:35+00:00,True,Operations & Strategy,https://himalayas.app/companies/flowmingo/jobs/marketing-growth-business-partner,Remote,About Flowmingo AI Flowmingo is a Y Combinator-backed startup (plus VinaCapital & top global investors) on a mission to democratize hiring.,2026-09-12T12:45:55.069318+00:00
1.0,JOB,Himalayas Startup,Frontend Engineer,2026-09-12T04:45:43+00:00,True,Software Engineering,https://himalayas.app/companies/bjak/jobs/frontend-engineer,Remote,"About ActAIThere are over 5 billion users using basic applications today such email, notes, tasks, calendar and they're not AI-native.",2026-09-12T12:45:55.069318+00:00
1.0,JOB,"Senior Product Manager, Growth (10",to-100),2026-09-12T04:43:06+00:00,True,Operations & Strategy,https://himalayas.app/companies/jerry/jobs/senior-product-manager-growth-10-to-100,Remote,"Why you should join usJerry. ai is a profitable, Series C, YC-backed tech startup with 5M+ customers and $240M in funding.",2026-09-12T12:45:55.070418+00:00
1.0,JOB,Himalayas Startup,Staff Forward Deployed Engineer,2026-09-12T04:39:59+00:00,True,Operations & Strategy,https://himalayas.app/companies/kong/jobs/staff-forward-deployed-engineer,Remote,"Are you ready to unlock intelligence? If you don’t think you meet all of the criteria below but are still interested in the job, please apply.",2026-09-12T12:45:55.070418+00:00
1.0,JOB,Himalayas Startup,Senior Media Buyer – Meta Ads,2026-09-12T04:38:33+00:00,True,Operations & Strategy,https://himalayas.app/companies/revstone/jobs/senior-media-buyer-meta-ads,Remote,Senior Media Buyer – Meta AdsFully Remote (International) | Full-Time Contractor | Paid in USD$7.,2026-09-12T12:45:55.070418+00:00
1.0,JOB,Himalayas Startup,Principal Backend Engineer,2026-09-12T04:27:06+00:00,True,Software Engineering,https://himalayas.app/companies/teya/jobs/principal-backend-engineer-6441026348,Remote,Hello.  We’re Teya. Teya was founded on a simple belief: local businesses deserve better.,2026-09-12T12:45:55.070418+00:00
1.0,JOB,Himalayas Startup,Product Engineer — AI Infrastructure / Devtools,2026-09-12T04:25:03+00:00,True,Software Engineering,https://himalayas.app/companies/lavendo/jobs/product-engineer-ai-infrastructure-devtools,Remote,"Lavendo partners with startups and high‑growth companies to help them hire top‑tier sales, GTM, and technical talent.",2026-09-12T12:45:55.071412+00:00
1.0,JOB,Himalayas Startup,Senior Frontend Engineer,2026-09-12T04:14:59+00:00,True,Software Engineering,https://himalayas.app/companies/hire-hangar/jobs/senior-frontend-engineer,Remote,Join Hire Hangar and work with fast-growing global companies while building a long-term career.,2026-09-12T12:45:55.071412+00:00
1.0,JOB,Himalayas Startup,Lead Copywriter,2026-09-12T04:11:35+00:00,True,Operations & Strategy,https://himalayas.app/companies/fyxer/jobs/lead-copywriter,Remote,"About FyxerFyxer is building an AI executive assistant that handles emails, scheduling and follow-up, freeing people in client-facing roles to focus on their customers.",2026-09-12T12:45:55.071412+00:00
