schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,content.primary_category,collectedAt
1.0,RESEARCH_PAPER,R: A Language and Environment for Statistical Computing,R Core Team,https://cran.r-project.org/doc/manuals/r-release/R-intro.pdf,https://github.com/huggingface/transformers,165161,2000-02-29T00:00:00Z,Data Mining Algorithms and Applications,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Deep Residual Learning for Image Recognition,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",https://repositorio.unal.edu.co/handle/unal/81443,https://github.com/vllm-project/vllm,91560,2016-06-01T00:00:00Z,Advanced Neural Network Applications,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Using thematic analysis in psychology,"Virginia Braun, Victoria Clarke",https://www.tandfonline.com/doi/abs/10.1191/1478088706qp063oa,https://github.com/meta-llama/llama,59606,2006-01-01T00:00:00Z,Community Health and Development,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Random Forests,Leo Breiman,https://www.ine.es/up/zEkXkJIZ,https://github.com/mistralai/mistral-src,10829,2001-10-01T00:00:00Z,Neural Networks and Applications,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,"Matthew J. Page, Joanne E. McKenzie, Patrick M. Bossuyt, Isabelle Boutron, Tammy Hoffmann, Cynthia D. Mulrow",https://www.bmj.com/content/bmj/372/bmj.n71.full.pdf,https://github.com/openai/whisper,108936,2021-03-29T00:00:00Z,Meta-analysis and systematic reviews,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,U-Net: Convolutional Networks for Biomedical Image Segmentation,"Olaf Ronneberger, Philipp Fischer, Thomas Brox",https://link.springer.com/content/pdf/10.1007/978-3-319-24574-4_28.pdf,https://github.com/CompVis/stable-diffusion,73418,2015-01-01T00:00:00Z,Cell Image Analysis Techniques,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Fitting Linear Mixed-Effects Models Using lme4,"Douglas M. Bates, Martin Mächler, Benjamin M. Bolker, Steve Walker",https://www.jstatsoft.org/index.php/jss/article/view/v067i01/v67i01.pdf,https://github.com/QwenLM/Qwen,21710,2015-01-01T00:00:00Z,Data Analysis with R,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,A short history of SHELX,George M. Sheldrick,https://journals.iucr.org/a/issues/2008/01/00/sc5010/sc5010.pdf,https://github.com/deepseek-ai/DeepSeek-LLM,7250,2007-12-21T00:00:00Z,Enzyme Structure and Function,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Adam: A Method for Stochastic Optimization,"Diederik P. Kingma, Jimmy Ba",https://handle.uba.uva.nl/personal/pure/en/publications/adam-a-method-for-stochastic-optimization(a20791d3-1aff-464a-8544-268383c33a75).html,https://github.com/ggerganov/llama.cpp,127960,2014-12-22T00:00:00Z,Stochastic Gradient Optimization Techniques,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Deep learning,"Yann LeCun, Yoshua Bengio, Geoffrey E. Hinton",https://hal.science/hal-04206682,https://github.com/pytorch/pytorch,102942,2015-05-26T00:00:00Z,Generative Adversarial Networks and Image Synthesis,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,"David Moher, A. Liberati, Jennifer Tetzlaff, Douglas G. Altman, for the PRISMA Group",https://www.bmj.com/content/bmj/339/bmj.b2535.full.pdf,https://github.com/tensorflow/tensor2tensor,17472,2009-07-21T00:00:00Z,Meta-analysis and systematic reviews,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,The Measurement of Observer Agreement for Categorical Data,"J. Richard Landis, Gary G. Koch",https://repositorio.unal.edu.co/handle/unal/80119,https://github.com/karpathy/nanoGPT,63012,1977-03-01T00:00:00Z,Reliability and Agreement in Measurement,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Exploiting Generative AI to Scale up Intelligent Tutoring Systems,"Jakubův, Jan, Chvalovský, Karel, Goertzel, Zarathustra, Kaliszyk, Cezary, Olšák, Mirek, Piotrowski, Bartosz",https://drops.dagstuhl.de/storage/00lipics/lipics-vol268-itp2023/LIPIcs.ITP.2023.19/LIPIcs.ITP.2023.19.pdf,https://github.com/huggingface/diffusers,34499,2023-01-01T00:00:00Z,Natural Language Processing Techniques,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,ImageNet classification with deep convolutional neural networks,"Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton",http://dl.acm.org/ft_gateway.cfm?id=3065386&type=pdf,https://github.com/langchain-ai/langchain,146186,2017-05-24T00:00:00Z,Advanced Neural Network Applications,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Very Deep Convolutional Networks for Large-Scale Image Recognition,"Karen Simonyan, Andrew Zisserman",https://arxiv.org/pdf/1409.1556,https://github.com/run-llama/llama_index,52131,2014-09-04T00:00:00Z,Advanced Vision and Imaging,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,Stephen F. Altschul,https://academic.oup.com/nar/article-pdf/25/17/3389/3639509/25-17-3389.pdf,https://github.com/huggingface/transformers,165161,1997-09-01T00:00:00Z,Genomics and Phylogenetic Studies,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Fiji: an open-source platform for biological-image analysis,"Johannes Schindelin, Ignacio Arganda‐Carreras, Erwin Frise, Verena Kaynig, Mark Longair, Tobias Pietzsch",https://www.ncbi.nlm.nih.gov/pmc/articles/3855844,https://github.com/vllm-project/vllm,91560,2012-06-28T00:00:00Z,Cell Image Analysis Techniques,2026-09-12T12:45:40.770542+00:00
1.0,RESEARCH_PAPER,Trimmomatic: a flexible trimmer for Illumina sequence data,"Anthony Bolger, Marc Lohse, Björn Usadel",https://academic.oup.com/bioinformatics/article-pdf/30/15/2114/48924714/bioinformatics_30_15_2114.pdf,https://github.com/meta-llama/llama,59606,2014-04-01T00:00:00Z,Genomics and Phylogenetic Studies,2026-09-12T12:45:40.771540+00:00
1.0,RESEARCH_PAPER,The Sequence Alignment/Map format and SAMtools,"Heng Li, Bob Handsaker, Alec Wysoker, Tim Fennell, Jue Ruan, Nils Homer",https://academic.oup.com/bioinformatics/article-pdf/25/16/2078/48994296/bioinformatics_25_16_2078.pdf,https://github.com/mistralai/mistral-src,10829,2009-06-08T00:00:00Z,Genomics and Phylogenetic Studies,2026-09-12T12:45:40.771540+00:00
1.0,RESEARCH_PAPER,NIH Image to ImageJ: 25 years of image analysis,"Caroline A Schneider, Wayne Rasband, Kevin W. Eliceiri",https://www.nature.com/articles/nmeth.2089.pdf,https://github.com/openai/whisper,108936,2012-06-28T00:00:00Z,Cell Image Analysis Techniques,2026-09-12T12:45:40.771540+00:00
1.0,RESEARCH_PAPER,"G*Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences","Franz Faul, Edgar Erdfelder, Albert-Georg Lang, Axel Buchner",https://link.springer.com/content/pdf/10.3758%2FBF03193146.pdf,https://github.com/CompVis/stable-diffusion,73418,2007-05-01T00:00:00Z,Behavioral and Psychological Studies,2026-09-12T12:45:40.771540+00:00
1.0,RESEARCH_PAPER,Scikit-learn: Machine Learning in Python,"Fabián Pedregosa, Gaël Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel",https://orbi.uliege.be/handle/2268/225787,https://github.com/QwenLM/Qwen,21710,2012-01-02T00:00:00Z,Computational Physics and Python Applications,2026-09-12T12:45:40.771540+00:00
1.0,RESEARCH_PAPER,Measuring inconsistency in meta-analyses,"Julian P. T. Higgins, Simon G. Thompson, Jonathan J Deeks, Douglas G. Altman",https://www.ncbi.nlm.nih.gov/pmc/articles/192859,https://github.com/deepseek-ai/DeepSeek-LLM,7250,2003-09-04T00:00:00Z,Meta-analysis and systematic reviews,2026-09-12T12:45:40.771540+00:00
1.0,RESEARCH_PAPER,Fast and accurate short read alignment with Burrows–Wheeler transform,"Heng Li, Richard Durbin",https://academic.oup.com/bioinformatics/article-pdf/25/14/1754/48994219/bioinformatics_25_14_1754.pdf,https://github.com/ggerganov/llama.cpp,127960,2009-05-18T00:00:00Z,Genomics and Phylogenetic Studies,2026-09-12T12:45:40.771540+00:00
